#           k/h    P           
    0.81241E-01    0.10749E+03
    0.82882E-01    0.10348E+03
    0.84556E-01    0.99504E+02
    0.86264E-01    0.95608E+02
    0.88007E-01    0.91828E+02
    0.89785E-01    0.88204E+02
    0.91598E-01    0.84771E+02
    0.93449E-01    0.81559E+02
    0.95337E-01    0.78599E+02
    0.97263E-01    0.75915E+02
    0.99227E-01    0.73516E+02
    0.10123E+00    0.71400E+02
    0.10328E+00    0.69557E+02
    0.10536E+00    0.67958E+02
    0.10749E+00    0.66569E+02
    0.10966E+00    0.65345E+02
    0.11188E+00    0.64235E+02
    0.11414E+00    0.63185E+02
    0.11644E+00    0.62141E+02
    0.11880E+00    0.61050E+02
    0.12120E+00    0.59867E+02
    0.12365E+00    0.58553E+02
    0.12614E+00    0.57082E+02
    0.12869E+00    0.55439E+02
    0.13129E+00    0.53628E+02
    0.13394E+00    0.51664E+02
    0.13665E+00    0.49579E+02
    0.13941E+00    0.47415E+02
    0.14223E+00    0.45228E+02
    0.14510E+00    0.43077E+02
    0.14803E+00    0.41025E+02
    0.15102E+00    0.39129E+02
    0.15407E+00    0.37435E+02
    0.15718E+00    0.35965E+02
    0.16036E+00    0.34721E+02
    0.16360E+00    0.33680E+02
    0.16690E+00    0.32809E+02
    0.17028E+00    0.32063E+02
    0.17371E+00    0.31395E+02
    0.17722E+00    0.30748E+02
    0.18080E+00    0.30064E+02
    0.18446E+00    0.29292E+02
    0.18818E+00    0.28398E+02
    0.19198E+00    0.27378E+02
    0.19586E+00    0.26256E+02
    0.19982E+00    0.25073E+02
    0.20386E+00    0.23879E+02
    0.20797E+00    0.22723E+02
    0.21218E+00    0.21652E+02
    0.21646E+00    0.20702E+02
    0.22083E+00    0.19891E+02
    0.22530E+00    0.19214E+02
    0.22985E+00    0.18643E+02
    0.23449E+00    0.18139E+02
    0.23923E+00    0.17655E+02
    0.24406E+00    0.17148E+02
    0.24899E+00    0.16586E+02
    0.25402E+00    0.15961E+02
    0.25915E+00    0.15287E+02
    0.26439E+00    0.14592E+02
    0.26973E+00    0.13911E+02
    0.27518E+00    0.13279E+02
    0.28074E+00    0.12719E+02
    0.28641E+00    0.12234E+02
    0.29219E+00    0.11812E+02
    0.29810E+00    0.11428E+02
    0.30412E+00    0.11053E+02
    0.31026E+00    0.10663E+02
    0.31653E+00    0.10248E+02
    0.32292E+00    0.98135E+01
    0.32945E+00    0.93785E+01
    0.33610E+00    0.89631E+01
    0.34289E+00    0.85824E+01
    0.34982E+00    0.82411E+01
    0.35689E+00    0.79320E+01
    0.36409E+00    0.76408E+01
    0.37145E+00    0.73529E+01
    0.37895E+00    0.70595E+01
    0.38661E+00    0.67618E+01
    0.39442E+00    0.64692E+01
    0.40239E+00    0.61912E+01
    0.41052E+00    0.59333E+01
    0.41881E+00    0.56952E+01
    0.42727E+00    0.54700E+01
    0.43590E+00    0.52506E+01
    0.44471E+00    0.50333E+01
    0.45369E+00    0.48189E+01
    0.46286E+00    0.46122E+01
    0.47221E+00    0.44168E+01
    0.48174E+00    0.42327E+01
    0.49148E+00    0.40580E+01
    0.50141E+00    0.38890E+01
    0.51153E+00    0.37241E+01
    0.52187E+00    0.35644E+01
    0.53241E+00    0.34113E+01
    0.54317E+00    0.32660E+01
    0.55414E+00    0.31275E+01
    0.56533E+00    0.29943E+01
    0.57675E+00    0.28655E+01
    0.58840E+00    0.27416E+01
    0.60029E+00    0.26230E+01
    0.61242E+00    0.25097E+01
    0.62479E+00    0.24011E+01
    0.63741E+00    0.22971E+01
