#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.689245E-02   0.247878E+07   0.247334E+07   0.359337E+05   0.285509E+05   0.113049E+07   0.247146E+07   0.247787E+07   0.247155E+07  -0.502124E+00   0.246510E+07   0.246391E+07   0.907661E+02
   0.761052E-02   0.242488E+07   0.241837E+07   0.275227E+05   0.229016E+05   0.102791E+07   0.241715E+07   0.242378E+07   0.241721E+07  -0.491080E+00   0.241106E+07   0.240984E+07   0.849193E+02
   0.840340E-02   0.236651E+07   0.235875E+07   0.241800E+05   0.183257E+05   0.927288E+06   0.235837E+07   0.236520E+07   0.235843E+07  -0.479130E+00   0.235257E+07   0.235131E+07   0.791845E+02
   0.927889E-02   0.230349E+07   0.229426E+07   0.167914E+05   0.146256E+05   0.832695E+06   0.229496E+07   0.230194E+07   0.229500E+07  -0.466242E+00   0.228945E+07   0.228813E+07   0.746720E+02
   0.102456E-01   0.223567E+07   0.222471E+07   0.163742E+05   0.116383E+05   0.744824E+06   0.222676E+07   0.223383E+07   0.222679E+07  -0.452381E+00   0.222153E+07   0.222016E+07   0.705054E+02
   0.113130E-01   0.216287E+07   0.214989E+07   0.108340E+05   0.923108E+04   0.659308E+06   0.215356E+07   0.216069E+07   0.215358E+07  -0.437505E+00   0.214864E+07   0.214720E+07   0.671776E+02
   0.124916E-01   0.208492E+07   0.206961E+07   0.931289E+04   0.729498E+04   0.576784E+06   0.207520E+07   0.208235E+07   0.207522E+07  -0.421583E+00   0.207060E+07   0.206908E+07   0.642169E+02
   0.137930E-01   0.200169E+07   0.198372E+07   0.756604E+04   0.574156E+04   0.501696E+06   0.199156E+07   0.199867E+07   0.199158E+07  -0.404589E+00   0.198727E+07   0.198566E+07   0.617022E+02
   0.152300E-01   0.191311E+07   0.189214E+07   0.631392E+04   0.449827E+04   0.432941E+06   0.190258E+07   0.190959E+07   0.190259E+07  -0.386509E+00   0.189861E+07   0.189689E+07   0.594831E+02
   0.168167E-01   0.182131E+07   0.179703E+07   0.447837E+04   0.351019E+04   0.369464E+06   0.181035E+07   0.181723E+07   0.181036E+07  -0.367772E+00   0.180670E+07   0.180487E+07   0.575123E+02
   0.185687E-01   0.172268E+07   0.169482E+07   0.332425E+04   0.272123E+04   0.312189E+06   0.171133E+07   0.171801E+07   0.171133E+07  -0.347654E+00   0.170799E+07   0.170603E+07   0.555592E+02
   0.205033E-01   0.161936E+07   0.158774E+07   0.295294E+04   0.209642E+04   0.260896E+06   0.160762E+07   0.161405E+07   0.160763E+07  -0.326586E+00   0.160460E+07   0.160252E+07   0.535001E+02
   0.226393E-01   0.151050E+07   0.147510E+07   0.183454E+04   0.160248E+04   0.215466E+06   0.149843E+07   0.150455E+07   0.149843E+07  -0.304402E+00   0.149572E+07   0.149352E+07   0.512052E+02
   0.249980E-01   0.139995E+07   0.136100E+07   0.140429E+04   0.121699E+04   0.175916E+06   0.138763E+07   0.139341E+07   0.138763E+07  -0.281892E+00   0.138521E+07   0.138291E+07   0.484890E+02
   0.276023E-01   0.128899E+07   0.124702E+07   0.105727E+04   0.918134E+03   0.142279E+06   0.127653E+07   0.128194E+07   0.127653E+07  -0.259323E+00   0.127439E+07   0.127203E+07   0.452159E+02
   0.304780E-01   0.117806E+07   0.113399E+07   0.757459E+03   0.687550E+03   0.113690E+06   0.116564E+07   0.117066E+07   0.116564E+07  -0.236796E+00   0.116377E+07   0.116138E+07   0.412572E+02
   0.336533E-01   0.107013E+07   0.102531E+07   0.662265E+03   0.511785E+03   0.899089E+05   0.105798E+07   0.106260E+07   0.105798E+07  -0.214924E+00   0.105634E+07   0.105400E+07   0.365561E+02
   0.371593E-01   0.969024E+06   0.925227E+06   0.486973E+03   0.379843E+03   0.706809E+05   0.957436E+06   0.961670E+06   0.957438E+06  -0.194499E+00   0.955990E+06   0.953794E+06   0.311707E+02
   0.410307E-01   0.877226E+06   0.836485E+06   0.311220E+03   0.281949E+03   0.553589E+05   0.866513E+06   0.870386E+06   0.866514E+06  -0.176029E+00   0.865221E+06   0.863254E+06   0.252870E+02
   0.451338E-01   0.799419E+06   0.763510E+06   0.251378E+03   0.212398E+03   0.437716E+05   0.789828E+06   0.793390E+06   0.789828E+06  -0.160450E+00   0.788645E+06   0.786977E+06   0.194872E+02
   0.492368E-01   0.738597E+06   0.708365E+06   0.195299E+03   0.165009E+03   0.354364E+05   0.730204E+06   0.733521E+06   0.730204E+06  -0.148338E+00   0.729091E+06   0.727741E+06   0.144557E+02
   0.533399E-01   0.689529E+06   0.664996E+06   0.155506E+03   0.131385E+03   0.292595E+05   0.682292E+06   0.685410E+06   0.682292E+06  -0.138605E+00   0.681227E+06   0.680174E+06   0.104013E+02
   0.574430E-01   0.648262E+06   0.628752E+06   0.126186E+03   0.106610E+03   0.244916E+05   0.642038E+06   0.644986E+06   0.642038E+06  -0.130427E+00   0.641012E+06   0.640206E+06   0.740166E+01
   0.615460E-01   0.611794E+06   0.596145E+06   0.103824E+03   0.877146E+02   0.207502E+05   0.606370E+06   0.609167E+06   0.606371E+06  -0.123181E+00   0.605386E+06   0.604754E+06   0.541242E+01
   0.656491E-01   0.577451E+06   0.564270E+06   0.861702E+02   0.727994E+02   0.176323E+05   0.572588E+06   0.575238E+06   0.572589E+06  -0.116319E+00   0.571653E+06   0.571119E+06   0.429210E+01
   0.697522E-01   0.543531E+06   0.531446E+06   0.718521E+02   0.607028E+02   0.150500E+05   0.539000E+06   0.541502E+06   0.539001E+06  -0.109495E+00   0.538125E+06   0.537617E+06   0.383853E+01
   0.738552E-01   0.510290E+06   0.498160E+06   0.601509E+02   0.508176E+02   0.128522E+05   0.505899E+06   0.508254E+06   0.505900E+06  -0.102771E+00   0.505091E+06   0.504555E+06   0.382821E+01
   0.779583E-01   0.476696E+06   0.463760E+06   0.503980E+02   0.425786E+02   0.109679E+05   0.472321E+06   0.474524E+06   0.472321E+06  -0.959498E-01   0.471585E+06   0.470988E+06   0.403694E+01
   0.820614E-01   0.444327E+06   0.430255E+06   0.423581E+02   0.357868E+02   0.937336E+04   0.439909E+06   0.441964E+06   0.439909E+06  -0.893654E-01   0.439243E+06   0.438577E+06   0.428366E+01
   0.861644E-01   0.414073E+06   0.398942E+06   0.357703E+02   0.302215E+02   0.803704E+04   0.409615E+06   0.411532E+06   0.409615E+06  -0.832113E-01   0.409014E+06   0.408290E+06   0.443569E+01
   0.912856E-01   0.380413E+06   0.364546E+06   0.292498E+02   0.247129E+02   0.668665E+04   0.375986E+06   0.377749E+06   0.375986E+06  -0.763797E-01   0.375452E+06   0.374693E+06   0.438349E+01
   0.964067E-01   0.352311E+06   0.336654E+06   0.242749E+02   0.205098E+02   0.563547E+04   0.348047E+06   0.349682E+06   0.348047E+06  -0.707041E-01   0.347560E+06   0.346822E+06   0.404019E+01
   0.101528E+00   0.330102E+06   0.315606E+06   0.205102E+02   0.173289E+02   0.482796E+04   0.326134E+06   0.327668E+06   0.326134E+06  -0.662526E-01   0.325675E+06   0.325007E+06   0.347345E+01
   0.106649E+00   0.312966E+06   0.300308E+06   0.176346E+02   0.148990E+02   0.420226E+04   0.309383E+06   0.310840E+06   0.309383E+06  -0.628497E-01   0.308938E+06   0.308371E+06   0.280344E+01
   0.111770E+00   0.299274E+06   0.288707E+06   0.153682E+02   0.129839E+02   0.370321E+04   0.296104E+06   0.297500E+06   0.296104E+06  -0.601520E-01   0.295664E+06   0.295207E+06   0.215772E+01
   0.116891E+00   0.287253E+06   0.278594E+06   0.134999E+02   0.114052E+02   0.328643E+04   0.284457E+06   0.285799E+06   0.284457E+06  -0.577860E-01   0.284023E+06   0.283660E+06   0.163609E+01
   0.122012E+00   0.275503E+06   0.268239E+06   0.118920E+02   0.100466E+02   0.292247E+04   0.272994E+06   0.274283E+06   0.272994E+06  -0.554573E-01   0.272569E+06   0.272270E+06   0.129119E+01
   0.127134E+00   0.263188E+06   0.256655E+06   0.104665E+02   0.884231E+01   0.259459E+04   0.260858E+06   0.262091E+06   0.260858E+06  -0.529920E-01   0.260450E+06   0.260179E+06   0.112556E+01
   0.132255E+00   0.250070E+06   0.243640E+06   0.918788E+01   0.776214E+01   0.229610E+04   0.247819E+06   0.248991E+06   0.247819E+06  -0.503431E-01   0.247435E+06   0.247159E+06   0.110164E+01
   0.137376E+00   0.236411E+06   0.229641E+06   0.804590E+01   0.679745E+01   0.202573E+04   0.234166E+06   0.235275E+06   0.234166E+06  -0.475697E-01   0.233811E+06   0.233509E+06   0.115964E+01
   0.142497E+00   0.222793E+06   0.215499E+06   0.704164E+01   0.594912E+01   0.178503E+04   0.220524E+06   0.221568E+06   0.220524E+06  -0.447983E-01   0.220198E+06   0.219864E+06   0.123677E+01
   0.147618E+00   0.209955E+06   0.202212E+06   0.617854E+01   0.522002E+01   0.157626E+04   0.207671E+06   0.208655E+06   0.207671E+06  -0.421873E-01   0.207371E+06   0.207012E+06   0.128288E+01
   0.152739E+00   0.198592E+06   0.190667E+06   0.545570E+01   0.460937E+01   0.139995E+04   0.196331E+06   0.197262E+06   0.196331E+06  -0.398837E-01   0.196053E+06   0.195685E+06   0.126957E+01
   0.157860E+00   0.189090E+06   0.181334E+06   0.486207E+01   0.410783E+01   0.125430E+04   0.186901E+06   0.187787E+06   0.186901E+06  -0.379680E-01   0.186638E+06   0.186281E+06   0.119194E+01
   0.162982E+00   0.181381E+06   0.174120E+06   0.437622E+01   0.369733E+01   0.113458E+04   0.179311E+06   0.180162E+06   0.179311E+06  -0.364262E-01   0.179056E+06   0.178727E+06   0.106438E+01
   0.168103E+00   0.175078E+06   0.168529E+06   0.397270E+01   0.335637E+01   0.103474E+04   0.173157E+06   0.173978E+06   0.173157E+06  -0.351759E-01   0.172906E+06   0.172615E+06   0.912508E+00
   0.173224E+00   0.169688E+06   0.163915E+06   0.362843E+01   0.306546E+01   0.949094E+03   0.167921E+06   0.168718E+06   0.167921E+06  -0.341123E-01   0.167673E+06   0.167422E+06   0.764202E+00
   0.178345E+00   0.164706E+06   0.159626E+06   0.332455E+01   0.280869E+01   0.873087E+03   0.163078E+06   0.163853E+06   0.163078E+06  -0.331286E-01   0.162833E+06   0.162616E+06   0.641986E+00
   0.183466E+00   0.159667E+06   0.155091E+06   0.304667E+01   0.257391E+01   0.803220E+03   0.158147E+06   0.158899E+06   0.158147E+06  -0.321268E-01   0.157907E+06   0.157713E+06   0.558446E+00
   0.188587E+00   0.154269E+06   0.149962E+06   0.278635E+01   0.235398E+01   0.737259E+03   0.152820E+06   0.153546E+06   0.152820E+06  -0.310446E-01   0.152588E+06   0.152403E+06   0.515088E+00
   0.193708E+00   0.148480E+06   0.144224E+06   0.254147E+01   0.214711E+01   0.674714E+03   0.147066E+06   0.147765E+06   0.147066E+06  -0.298758E-01   0.146844E+06   0.146659E+06   0.504160E+00
   0.198830E+00   0.142481E+06   0.138128E+06   0.231393E+01   0.195489E+01   0.616182E+03   0.141079E+06   0.141750E+06   0.141079E+06  -0.286595E-01   0.140869E+06   0.140675E+06   0.512385E+00
   0.203951E+00   0.136533E+06   0.132024E+06   0.210638E+01   0.177956E+01   0.562541E+03   0.135133E+06   0.135776E+06   0.135133E+06  -0.274516E-01   0.134934E+06   0.134731E+06   0.525262E+00
   0.209072E+00   0.130890E+06   0.126257E+06   0.192074E+01   0.162274E+01   0.514392E+03   0.129496E+06   0.130112E+06   0.129496E+06  -0.263065E-01   0.129309E+06   0.129098E+06   0.530801E+00
   0.214193E+00   0.125770E+06   0.121108E+06   0.175786E+01   0.148514E+01   0.472030E+03   0.124396E+06   0.124988E+06   0.124396E+06  -0.252704E-01   0.124217E+06   0.124005E+06   0.521876E+00
   0.219314E+00   0.121303E+06   0.116735E+06   0.161699E+01   0.136612E+01   0.435322E+03   0.119965E+06   0.120536E+06   0.119965E+06  -0.243703E-01   0.119793E+06   0.119587E+06   0.496924E+00
   0.224435E+00   0.117486E+06   0.113127E+06   0.149561E+01   0.126358E+01   0.403631E+03   0.116201E+06   0.116754E+06   0.116201E+06  -0.236057E-01   0.116034E+06   0.115838E+06   0.459140E+00
   0.229556E+00   0.114200E+06   0.110127E+06   0.139003E+01   0.117436E+01   0.375947E+03   0.112978E+06   0.113516E+06   0.112978E+06  -0.229510E-01   0.112814E+06   0.112634E+06   0.414679E+00
   0.234678E+00   0.111264E+06   0.107502E+06   0.129629E+01   0.109516E+01   0.351247E+03   0.110108E+06   0.110632E+06   0.110108E+06  -0.223680E-01   0.109947E+06   0.109782E+06   0.370518E+00
   0.239799E+00   0.108485E+06   0.105006E+06   0.121091E+01   0.102302E+01   0.328740E+03   0.107390E+06   0.107901E+06   0.107390E+06  -0.218157E-01   0.107231E+06   0.107079E+06   0.332554E+00
   0.244920E+00   0.105699E+06   0.102437E+06   0.113123E+01   0.955704E+00   0.307712E+03   0.104653E+06   0.105151E+06   0.104653E+06  -0.212597E-01   0.104496E+06   0.104355E+06   0.304351E+00
   0.250041E+00   0.102807E+06   0.996799E+05   0.105576E+01   0.891940E+00   0.287669E+03   0.101797E+06   0.102282E+06   0.101797E+06  -0.206796E-01   0.101645E+06   0.101509E+06   0.286700E+00
   0.255162E+00   0.997979E+05   0.967285E+05   0.984069E+00   0.831374E+00   0.268547E+03   0.988120E+05   0.992825E+05   0.988120E+05  -0.200732E-01   0.986647E+05   0.985302E+05   0.277945E+00
